3865 3956
300:0.987536 415:1.09155 442:1.14924 487:0.846991 590:0.826576 631:0.788603 870:0.810847 897:0.822928 995:1.03351 1086:0.850915 1725:0.843796 1754:0.825516 1759:0.78651 1875:0.832107 1940:0.907043 2142:0.808542 2143:0.808777 2235:0.787704 2512:0.783669 2590:0.785028
166:0.821733 167:0.863324 181:0.818445 610:0.846838 710:0.809476 780:0.811577 921:1.02257 1117:0.815023 1449:0.857539 1462:0.948837 1842:1.11841 1906:0.889139 1919:0.810321 1921:0.846534 1955:0.91355 1981:0.882436 2141:0.876586 2862:0.80168 3169:0.825049 3377:0.847354
4:1.2413 14:0.859935 18:0.817886 33:0.816602 41:0.839815 45:0.875841 70:0.787004 71:1.232 72:1.15985 99:0.811445 170:0.932089 233:0.802121 254:0.972953 377:0.798261 395:0.805037 397:0.797674 599:1.36948 999:0.787067 1516:0.801037 3463:0.794873
4:0.947454 41:0.90075 53:0.864316 265:1.15673 266:0.997487 286:0.839536 400:0.915767 503:0.929311 547:0.908026 659:1.28419 662:0.869505 664:1.35545 665:1.13455 705:0.935066 716:1.11392 717:0.916567 1169:0.920173 1246:0.977337 1336:0.888746 1468:0.883294
124:0.914702 169:1.29584 348:1.46604 481:0.888736 1124:0.889223 1153:0.810361 1285:0.820889 1353:0.832729 1472:0.839125 1475:0.837851 1609:0.889678 1882:1.03483 1935:1.2391 2124:1.02482 2370:0.821774 2932:0.817605 2934:1.31733 3135:1.37607 3224:0.823322 3798:0.868099
23:0.863549 46:0.824154 82:0.842446 85:0.870412 103:0.924684 203:0.914697 209:0.833764 217:0.949834 254:1.02899 257:0.823077 264:1.07311 283:0.835841 310:0.817666 397:1.24687 432:0.822085 562:1.36585 678:0.854441 699:1.00527 2141:0.805406 2300:0.86117
35:0.821398 218:0.99026 322:0.797216 341:0.794272 1159:0.893794 1300:0.806557 1317:0.987405 1319:1.26069 1441:0.822693 1524:0.839353 1737:1.2596 1937:0.940344 1986:0.801827 2016:1.41417 2944:0.83001 3075:1.00117 3236:1.1171 3633:0.932753 3656:0.900256 3803:1.27612
403:0.988188 495:0.907975 562:0.886929 663:0.926326 703:0.934606 710:1.25213 1109:1.03781 1434:1.45318 1435:1.11339 1465:0.909764 1466:0.93253 1557:0.866162 1646:0.960364 1694:0.87592 1754:1.04826 2262:0.930333 2300:0.877476 2317:0.907706 2577:0.8529 2698:0.912682
81:1.1709 328:0.841594 369:0.843426 391:0.886901 413:0.828106 539:0.829126 547:1.07623 568:0.844249 634:0.90202 694:0.890859 919:0.842216 992:0.985142 1014:0.956646 1280:0.89479 1281:0.933926 1421:0.902802 1447:0.830298 1593:0.888325 1624:0.883453 1675:0.832733
361:1.0651 454:1.03332 516:0.998884 520:0.8533 529:0.83117 564:1.06736 590:1.23664 619:0.875284 638:0.879197 737:1.01881 753:0.880345 797:0.847792 1225:0.849644 1265:1.14283 1305:0.948203 1583:0.845806 1584:0.896768 1667:0.90942 2005:0.93418 2368:0.890666
110:0.8359 384:0.83785 465:0.808867 529:1.31357 618:0.846487 726:1.00819 739:1.03598 750:0.804088 788:0.816852 828:0.893343 889:0.994497 890:1.10798 922:0.933359 978:0.901861 1198:0.817633 1272:1.03658 1293:0.818124 1331:0.881935 1830:0.818704 2664:0.879545
309:0.866032 519:0.861596 653:0.871476 881:1.38432 1125:0.863196 1172:0.994556 1515:0.843742 1516:1.02969 1520:0.874562 1521:1.09392 1536:1.26334 1538:1.11668 1595:0.866123 1613:0.893926 2153:0.913221 2729:0.840281 2906:0.878475 3165:0.965428 3392:0.89178 3730:0.949015
140:0.986956 276:0.798007 312:0.805419 366:0.800747 388:0.829251 419:0.790904 710:1.01592 732:0.807364 771:0.817084 935:1.12637 1434:0.924993 1466:1.13978 1646:0.797822 1809:1.08138 2125:0.785889 2262:0.930714 2516:0.800292 2529:0.825833 2698:1.18689 3711:0.799986
73:0.866313 227:1.16222 256:0.896072 261:0.956117 329:0.973078 460:0.878282 562:0.947188 998:1.0122 1179:1.25629 1449:1.23407 1826:1.01595 1900:1.06024 1906:0.869034 1981:1.02709 2782:0.970868 2783:0.932471 2850:1.28651 2936:1.13281 2943:0.909503 3400:0.968955
462:0.886077 521:0.867591 522:0.87494 532:0.861092 536:0.84199 590:1.06956 608:0.876616 714:0.889302 742:0.883653 820:0.867562 833:0.848937 908:0.845423 1095:0.861302 1132:0.952757 1134:0.839587 1135:0.837473 1405:0.849744 1513:0.857254 1541:0.940946 2678:0.84868
98:1.14198 99:1.1867 100:0.966411 118:0.884058 119:1.02305 120:1.10001 147:0.877187 162:0.882493 178:0.879092 191:1.16459 195:0.927692 219:0.928098 229:0.912613 247:0.933547 248:1.03021 408:0.879717 409:0.878817 778:0.941399 977:0.972432 1402:0.880415
239:1.20299 310:0.945865 388:1.26041 503:1.23516 568:0.837833 611:0.896531 622:0.838195 626:0.898816 658:0.854566 659:1.31834 664:0.935106 717:0.806427 864:0.838257 952:0.816797 973:1.14192 1281:0.849655 1668:0.912681 2333:0.830768 2410:0.81828 2633:0.853059
4:0.848536 7:1.09727 8:0.946489 67:0.839919 88:1.12096 90:0.916063 94:0.838282 105:0.881053 156:0.834241 363:1.25153 364:0.857409 386:0.838883 475:1.03755 577:0.848831 615:1.10444 933:0.987834 934:0.936923 954:0.89543 1071:0.825426 1640:0.841843
78:0.75544 153:0.829153 217:0.784169 238:0.774759 245:0.790259 289:1.1521 321:0.951295 374:0.761343 414:0.848172 416:0.756831 772:0.871937 957:0.805869 2323:0.845172 2331:0.866217 2606:0.787772 2889:1.12479 3507:0.775661 3577:0.784736 3868:0.759529 3888:0.786244
26:0.933544 62:0.836195 159:0.961711 199:1.12415 231:0.820298 581:0.880063 587:0.846603 789:0.826192 1054:1.1076 1441:0.837763 1617:0.937841 2490:1.08721 3093:0.853224 3113:0.894895 3172:0.840015 3197:0.826423 3265:0.866239 3458:0.831268 3648:0.871367 3945:0.824878
31:0.869174 45:0.875479 366:0.803433 388:0.823388 400:0.799391 448:0.840069 501:0.860272 555:0.867652 630:0.922554 660:0.905542 715:0.805941 756:0.898541 757:0.853625 772:0.806458 900:0.852984 942:0.80073 1074:0.818294 1365:0.831515 1485:0.828951 3505:0.808875
2:0.837265 4:1.4786 105:0.801714 168:0.881192 184:0.859086 185:0.818936 209:0.801399 260:1.41292 328:1.42797 354:0.980216 355:0.93631 363:0.777525 395:0.857058 413:0.83651 549:1.42777 625:1.44563 779:0.848037 933:0.815261 1136:0.778306 1204:0.790239
71:0.774337 81:1.16647 369:0.970516 388:1.03694 437:0.801172 454:0.792539 516:0.791087 520:0.788165 641:0.775308 668:0.821995 709:0.787486 756:0.768914 817:0.837709 820:0.78156 942:0.798005 1074:0.770601 1117:0.853785 1403:0.787229 1833:0.78365 3705:0.813814
217:0.841665 604:0.880587 699:0.835686 1229:0.874226 1449:0.955705 1835:0.859514 1839:0.832235 1842:0.920165 1878:1.20252 1906:0.937677 1921:1.39815 1955:1.10213 1981:0.905618 1982:0.926284 2128:1.2557 2211:0.897338 2218:0.985591 2266:0.911825 2930:1.28134 3608:0.832068
0:1.34949 1:0.988567 4:1.21283 81:0.95826 106:0.890546 154:1.0228 260:0.971388 296:1.00993 303:0.88695 389:1.02724 390:1.19522 391:0.950902 400:1.43328 404:1.06769 413:0.940385 547:1.01483 549:0.96783 854:0.995641 991:0.880492 1108:0.936274
0:0.861646 38:1.34299 39:1.43976 40:1.24781 152:1.0777 239:0.842864 300:0.851467 504:0.866576 591:1.02256 595:0.955359 710:0.979364 824:0.833945 958:0.938565 981:0.89556 1059:1.03581 1554:0.85826 1690:0.871091 2868:0.858931 2942:0.872623 3199:0.851888
126:0.776829 240:0.871692 444:1.0253 513:0.775796 629:0.791804 657:0.955781 663:0.804827 710:0.844516 711:0.806867 813:0.780696 997:0.894801 1092:0.790303 1313:0.775285 1400:0.782149 1434:0.99226 1435:0.838224 1557:0.776306 1606:0.890029 2720:0.783207 3722:0.782663
59:0.840617 161:0.818946 416:0.977602 419:0.955712 433:0.836889 436:0.836225 1152:0.883387 1840:0.851747 1893:0.826824 1898:1.07154 1899:0.82483 1901:0.841396 1907:0.819537 1926:0.905631 2264:0.887226 2339:0.806302 2421:1.19488 2653:0.814082 2755:0.952977 2931:0.817498
11:0.965542 37:0.874174 44:1.07776 62:0.907799 78:0.873059 81:0.935432 141:0.843032 188:0.829014 230:0.876267 231:0.916585 274:1.07184 470:0.91077 488:0.830147 734:0.897455 1363:0.851959 1580:0.836259 1624:0.96124 1642:0.821334 2500:0.880262 3197:0.830919
4:0.941404 11:0.806887 22:1.08 25:0.872262 27:1.14445 29:0.961806 48:1.01817 56:0.932728 89:0.917193 183:0.814603 184:1.39719 204:0.986226 227:0.840459 324:0.834785 377:0.829835 589:0.923129 599:0.854708 608:0.827181 1300:0.848737 1672:0.824019
17:0.94724 72:1.34684 138:0.875572 139:1.41237 205:1.02439 207:0.985556 252:1.29212 278:0.871599 310:1.41037 385:0.95202 446:0.92123 741:0.950434 853:0.911609 1578:0.951956 2248:1.2872 2567:0.896497 3484:0.881804 3521:0.90884 3629:0.912035 3787:0.866717
203:0.907573 227:1.1224 1447:0.915501 1502:0.877016 1559:0.867878 1693:0.976537 1771:0.93617 1840:1.00277 1863:0.881315 1864:0.915101 1878:0.915197 1881:0.977787 1882:0.927771 1898:1.01085 1899:0.966277 1900:0.968537 2116:0.955169 2117:0.85419 2219:0.901037 2596:0.91967
0:1.09078 2:0.891429 11:1.05118 36:1.00486 38:0.853144 40:0.863434 44:0.891574 77:1.19404 78:0.858598 79:1.07319 80:0.880136 101:0.873154 153:1.17112 157:0.895993 159:0.978584 214:1.02821 410:1.02596 1058:0.997969 1059:0.923809 1060:0.933194
5:0.830509 81:0.833355 363:0.912508 615:1.0269 735:0.952779 800:0.90763 892:0.849069 894:0.898875 895:0.986131 1071:0.974031 1187:0.831293 1259:0.853599 1260:1.05866 1261:0.926012 1411:0.86388 1421:0.857532 1833:0.86474 2455:0.907845 2659:0.842148 3159:0.825707
11:0.811802 31:1.07251 448:0.891676 449:1.00481 471:0.79741 501:0.853275 569:0.810807 647:0.959768 770:0.818742 784:1.20379 1117:0.831482 1885:0.796446 2267:0.822564 2502:0.838752 2607:0.81879 2640:0.806648 2641:0.837681 2642:0.827286 2643:0.87594 2658:0.804482
0:0.801899 306:0.8418 309:0.868454 363:0.838128 429:0.850173 663:0.814064 693:0.802876 998:0.868226 1138:0.976396 1190:0.790993 1881:0.845011 1892:0.861706 1920:0.952733 1928:0.918307 1980:0.816839 2113:0.812624 2598:0.814702 2627:0.791115 2752:0.844725 3259:0.832255
64:0.781709 81:0.913937 114:0.805652 141:0.801536 153:0.871735 188:0.885289 203:0.80248 230:0.809821 264:0.826019 479:0.782431 480:0.805886 678:0.832303 699:0.786004 829:0.792796 916:0.782778 1139:0.787364 1402:0.792983 1736:0.793434 2298:0.88403 2584:0.810123
181:0.812167 239:1.04818 503:0.969624 568:0.83324 589:0.896793 610:1.07005 622:1.39511 734:0.819548 886:0.871637 973:0.903276 1117:0.906916 1280:0.814954 1281:0.8283 1381:1.05145 1382:0.832661 1430:0.871345 1535:0.832562 2333:0.978227 3354:0.817834 3665:0.836855
55:0.95081 181:0.905705 182:0.977621 183:1.16549 239:1.06958 310:1.35125 388:1.2175 420:1.01477 503:0.938826 584:0.990379 610:0.996255 611:0.98812 698:0.955707 952:1.10335 973:1.04543 1349:0.968881 1365:1.4304 1366:0.908334 1432:0.914685 3412:0.984913
320:0.833943 333:0.817745 447:1.26029 462:0.89511 468:1.27455 530:0.934527 596:0.865418 715:0.817175 863:0.939557 920:1.16872 1175:1.23757 1286:0.840693 1462:1.04618 1463:0.845657 1464:0.93563 1500:1.05252 1965:0.94134 2578:0.882377 2830:0.944206 3382:0.814641
4:0.823134 11:1.02273 71:0.80524 81:0.927682 270:1.0722 388:0.855332 400:1.52349 458:0.893071 520:0.820157 532:0.808712 556:0.826483 563:0.852956 608:0.814821 621:0.901192 747:0.836176 840:0.817704 894:0.846322 1009:0.814953 1035:0.873801 1036:0.809234
23:0.8313 227:1.16543 238:0.865683 240:0.922174 286:0.950264 289:1.35089 414:0.966525 630:1.10067 817:1.11507 1627:0.898834 1695:0.842503 1928:0.861211 2582:0.938138 2889:1.34431 3025:0.849343 3060:0.832694 3577:0.901286 3578:0.823732 3779:0.929642 3888:0.870414
53:0.825329 54:0.819427 240:0.982593 547:0.913321 651:0.811539 662:1.02731 705:1.06598 709:1.02547 806:0.881593 818:0.832151 864:0.879058 949:0.922926 950:0.890269 1091:0.862864 1175:0.803858 1194:1.34348 1195:1.30302 1196:1.05558 1582:0.826892 2246:1.00792
218:1.23302 239:0.980911 327:0.927995 398:0.931878 503:1.04521 589:1.06412 622:1.30479 718:1.10135 843:0.905498 869:0.818315 952:0.865881 973:0.873842 1138:0.93929 1376:1.32089 1430:0.912469 1431:0.809798 1554:0.807712 2333:0.859849 3275:0.840889 3323:0.834216
0:0.881428 416:1.35933 450:0.929748 471:1.48784 472:1.32693 619:0.884968 647:0.945259 784:0.914566 961:1.12667 1025:0.830074 1031:0.832599 1170:0.884692 1470:0.895702 1664:0.876538 1755:0.826205 2168:0.881427 2276:0.854449 2473:0.84283 2581:0.877609 3760:0.851293
27:0.957584 35:0.788814 64:0.823468 72:0.923536 82:1.14433 185:0.786638 217:1.44493 227:1.18229 263:0.975269 264:0.846901 286:0.805128 289:0.838012 343:0.859559 494:0.821557 573:0.790472 630:0.784797 660:0.81675 765:0.816663 956:0.775069 1784:0.885588
98:0.911505 119:1.04377 120:1.07414 191:1.21315 195:0.83762 229:1.02924 247:0.84227 325:0.876693 607:1.40349 777:1.33928 778:0.981111 977:1.11504 1301:0.912306 1402:0.978363 1500:0.85617 1732:1.23765 2451:0.908304 2495:0.887297 2595:0.878464 2727:0.884172
72:0.901351 183:1.11778 220:0.894182 310:1.4544 388:1.1024 503:0.972885 583:0.872335 584:1.01686 589:1.32799 611:0.903602 709:0.900332 952:0.93796 1365:0.911944 1366:1.25073 1367:1.04695 1432:0.892139 1944:0.926327 2408:0.924299 3412:0.938552 3824:0.873219
41:0.856188 72:1.00414 239:1.09731 310:1.29902 388:1.18582 421:0.856112 503:1.09423 622:1.19336 659:0.850239 698:0.870396 843:1.02901 952:1.36435 973:1.36501 1279:0.87858 1326:0.963185 1366:0.85526 1433:0.851531 1740:0.852104 2236:0.883382 2295:0.86554
400:1.06047 507:0.826102 513:0.833338 520:0.868899 536:0.860996 539:0.81414 540:1.06737 541:1.0631 542:1.08017 590:0.913911 793:0.838427 833:0.985408 840:0.885661 855:0.878142 931:0.848111 1218:0.848528 1219:0.846953 1223:0.845272 1450:0.831678 2561:0.837543
35:0.859375 167:0.941566 403:0.958131 495:0.895557 562:0.981437 663:1.06782 703:1.43277 710:1.27902 711:1.04771 712:0.96616 1109:0.962271 1169:0.88912 1404:0.952295 1434:1.45719 1435:1.17825 1465:0.861227 1557:0.906125 1754:1.04851 1769:0.936858 3364:0.860666
114:1.03853 494:0.876914 640:0.875168 786:0.992924 1245:0.938012 1297:0.876796 1329:0.863333 1502:0.883734 1851:0.929924 1857:1.36007 1887:0.877459 2367:0.852636 2480:0.886942 2534:1.0208 2594:0.879675 2904:0.903563 3292:1.44752 3344:0.848905 3349:1.10092 3637:1.12041
40:0.829815 166:0.999063 167:0.974002 218:0.955933 292:0.875857 416:0.885674 450:0.938917 471:1.2613 472:0.907632 597:0.874592 711:0.91519 780:0.818378 1025:0.847614 1906:0.923239 1928:0.844631 1985:0.832811 2085:0.864508 2557:0.821362 2792:0.867825 3116:0.843208
164:0.951072 309:0.860993 471:0.91991 540:0.881758 541:0.877801 615:0.851748 1011:0.851748 1187:0.869396 1190:0.921275 1240:0.876811 1241:0.888116 1242:0.908306 1474:0.893581 1571:0.907245 1949:1.01188 1961:0.884398 2201:0.906836 2242:0.920683 2904:0.916902 3662:0.894611
55:1.06422 129:0.996562 171:0.887452 173:0.973614 175:0.924468 183:1.07968 220:0.876093 239:0.980018 310:0.972715 396:0.944808 501:0.97241 584:1.0049 678:0.975548 843:0.957307 952:1.22153 1365:1.19867 1432:1.04257 2236:0.857663 2418:0.869045 3412:0.869753
333:0.803748 471:1.51402 472:1.40469 619:0.849008 729:0.8341 745:0.799853 1002:0.807986 1170:0.998701 1217:0.805718 1500:1.35536 1871:0.801144 1915:0.803074 1999:0.84857 2239:0.830031 2667:0.979519 2731:0.799403 2916:0.806338 3070:0.845556 3244:0.887543 3254:0.816995
92:1.06687 161:0.920166 275:0.865065 494:0.980102 1130:0.998869 1229:0.935012 1287:0.847258 1418:0.859201 1419:0.860143 1730:0.841575 1748:0.829062 1878:1.0861 2128:1.07197 2218:0.933845 2266:0.9629 2308:0.83795 2754:0.951518 2774:0.879766 2930:0.876627 3189:0.816632
60:0.856015 62:1.03354 109:0.935068 111:0.908355 199:1.29319 333:0.879682 415:1.22051 416:0.84854 423:0.920088 590:0.849433 750:0.867029 789:0.914293 792:0.854487 811:0.856807 828:0.854228 996:0.943733 1583:0.944421 2026:1.0503 2162:0.902248 2199:0.871518
26:0.877884 159:0.99743 230:0.860806 388:0.91609 563:1.12996 587:0.854743 1054:1.23652 1290:1.00791 1487:0.859022 1617:0.912888 1624:0.865894 1798:0.948583 2490:1.0958 2500:0.870826 2657:0.948152 3188:1.05688 3197:1.11079 3200:0.937716 3219:0.898614 3648:0.985861
4:1.09477 41:0.939797 45:0.9848 109:1.07261 110:0.961973 242:0.932483 390:0.870505 400:1.14676 459:0.89876 505:0.908167 558:0.940582 590:0.971332 657:0.956874 671:1.02235 747:0.901083 789:0.872834 811:0.966655 978:0.956865 979:0.968442 1199:0.977296
11:0.863159 22:1.03367 46:0.822694 55:0.949573 86:0.865955 88:0.928987 89:1.00727 172:1.06145 174:1.17793 176:1.14616 180:0.861443 181:0.96232 182:0.914528 183:0.946149 203:0.885238 204:0.88502 218:0.830619 279:0.90199 417:0.821972 501:0.879865
2270:1.4607 2306:1.41765 2324:1.02477 2904:0.901461 2905:1.41096 3015:1.40766 3019:0.920356 3027:1.42884 3029:0.887519 3031:0.921374 3039:0.932681 3040:0.972903 3043:0.943988 3044:1.09516 3046:1.10651 3050:1.04403 3055:0.923312 3059:0.898335 3061:0.902731 3063:0.925033
81:0.804465 99:0.857161 195:0.857581 220:0.845569 239:1.05532 254:0.949258 397:0.844403 563:0.83461 583:0.822369 611:0.817458 622:1.08449 1061:1.06313 1381:0.806274 1382:0.937003 1459:0.816006 1462:0.831207 1463:1.01763 1732:0.883304 2903:0.866408 2904:0.887638
4:1.16199 9:0.832055 17:0.915559 18:1.07469 20:0.8983 21:1.0035 23:0.781951 50:0.783573 70:0.834791 91:0.817137 134:0.807372 140:0.981655 151:0.791803 244:0.796423 305:0.880404 585:0.807246 673:0.786505 678:0.807817 699:1.36536 700:0.807135
4:1.02693 14:1.07119 41:0.90243 45:0.915721 110:1.17293 135:0.934954 400:0.902675 529:1.21179 550:0.871476 564:0.874829 671:0.873012 726:0.893765 750:0.982031 752:1.07732 828:0.855973 922:0.942594 978:0.918042 1199:0.918899 1272:0.86582 1659:1.07589
35:0.829058 97:0.866931 184:0.929943 238:1.05001 289:0.882483 355:0.873573 414:0.833424 498:1.44582 499:0.876256 630:0.824912 935:0.803575 936:0.867723 940:0.914869 990:0.972345 1109:1.0233 1435:0.816017 1744:0.833245 1768:0.850361 1985:1.03011 2152:0.862318
23:1.04081 140:1.11221 227:1.08618 253:0.898987 256:0.994229 311:0.893049 366:0.86214 501:0.914764 673:0.960384 935:0.851388 1179:0.920487 1237:0.898468 1449:0.921565 1546:0.9623 2141:0.911084 2549:0.875553 2782:0.909841 2783:0.874371 2850:0.922633 2936:0.906015
129:1.25862 140:0.930298 181:0.841741 396:0.849559 419:0.9392 610:1.02883 829:0.93358 921:1.03041 1062:0.832615 1387:0.82127 1462:0.920033 1523:0.841053 1899:0.941381 1903:0.810708 1976:0.91904 2116:0.854478 2301:0.957487 2418:0.814318 2565:0.848299 2695:0.85382
400:0.87526 462:0.948794 464:0.848327 468:0.886932 542:0.978122 557:0.902981 590:1.15847 618:0.863446 619:0.837904 737:0.846192 833:0.942899 834:1.0656 1218:0.854084 1219:0.852039 1223:0.884014 1405:0.886144 1454:0.849215 1914:0.864927 2046:0.836677 2180:0.833933
2270:1.44656 2306:1.38364 2356:0.988738 2904:0.942567 2905:1.45579 2989:0.886676 3015:1.42675 3019:1.02663 3027:1.40217 3029:0.918629 3031:0.891702 3039:0.887942 3040:0.986244 3043:0.971669 3044:0.909396 3046:0.915207 3050:0.912428 3053:0.892561 3061:1.082 3066:0.902589
27:1.30263 94:0.851754 114:0.923914 168:0.917273 209:1.3642 309:0.836013 363:1.30189 475:0.946443 519:0.823847 623:0.857107 893:0.844621 933:0.965022 934:1.19141 1139:0.917137 1170:0.838292 1204:0.96851 1271:0.880661 1753:0.840794 1921:0.837772 2780:0.833161
72:1.26577 183:0.828166 209:1.0022 220:1.37461 239:1.06608 252:0.865413 310:1.37439 355:0.884364 583:0.828142 675:0.825743 701:0.851305 709:0.882232 779:0.826287 843:1.079 952:1.36018 973:0.911609 1061:0.859482 1326:0.824739 2984:0.829178 3311:0.825151
41:0.905898 175:0.854866 181:1.05079 182:0.852498 239:1.07136 380:0.879763 420:0.854178 503:1.4012 589:0.975992 610:1.00259 611:0.960308 622:1.42412 802:1.01222 952:1.08442 973:1.39317 1281:0.894453 1349:0.874446 1365:0.937266 1384:0.909872 1431:0.91384
58:0.841096 156:1.20361 357:0.909248 363:0.863518 378:0.827698 386:0.988343 475:0.820556 731:0.85042 912:0.865247 1014:0.871157 1042:0.886353 1187:0.936644 1241:0.868174 1242:0.844147 1290:0.855877 1411:0.82926 1482:0.890653 2890:0.838682 3351:0.821735 3379:0.978957
148:0.908675 239:1.01823 420:1.6032 503:0.950464 612:1.43833 622:0.851019 802:0.830244 973:0.973893 1073:0.86502 1281:0.838511 1384:1.01553 1918:1.11404 2250:0.84094 2326:0.837229 2579:0.843208 2660:0.974441 2666:0.832288 2793:1.02046 2957:0.860462 3509:0.891199
131:1.22613 329:1.18683 428:0.857498 604:1.05905 864:0.83806 998:1.07398 1449:1.01081 1878:0.936779 1906:1.00749 1927:0.860821 1981:0.862632 2218:0.909795 2258:0.900991 2337:1.02112 2782:0.874938 2783:0.912476 2818:0.843025 2861:1.07955 2930:0.827334 3431:0.829264
23:1.207 87:0.848133 129:1.47516 140:1.35323 203:0.852273 283:0.927311 396:0.981193 407:0.854521 562:0.879261 610:0.903575 678:1.14695 701:0.868521 843:1.04037 921:1.00005 1062:1.10711 1365:0.93701 1432:0.93619 2418:0.969198 2483:0.865495 3273:0.992231
123:0.930886 239:1.06367 309:1.12651 333:0.891531 420:0.966971 547:0.927159 568:1.06682 612:0.97678 622:0.917609 973:1.1599 998:0.960321 1138:1.0059 1279:0.884964 1280:0.92501 1281:0.944951 1376:0.948726 1384:0.942959 1430:0.944279 1918:1.06968 3275:0.904606
4:1.12936 11:0.834004 19:0.967502 58:0.846234 67:0.838212 98:0.857346 115:0.844865 157:0.887981 159:0.948658 244:0.848997 339:0.897463 386:0.906207 387:0.835382 417:1.17941 474:0.832591 683:1.08363 982:0.903139 983:0.8171 1893:0.850119 2367:0.867211
27:0.844891 31:0.910401 153:0.909234 169:0.810776 469:0.875778 484:0.940577 490:1.03289 491:0.806186 623:0.958122 1047:0.871966 1125:0.820969 1401:0.832813 1511:0.809914 1877:0.951844 1954:0.811395 2059:0.802196 2124:0.854419 2153:0.894839 2760:0.825553 2996:0.818496
4:0.978065 10:0.85925 11:1.42297 13:0.865389 23:0.925325 27:1.28482 28:0.940665 29:1.08609 71:0.841353 72:0.969884 115:0.846743 227:0.874169 264:0.859625 279:0.894566 324:0.928283 354:1.01321 355:1.08891 583:0.878246 953:0.832889 990:0.844039
431:0.926401 469:0.809308 484:1.21549 485:0.926793 731:1.02171 1211:0.877421 1399:0.834239 1726:0.833962 1727:0.838594 1876:0.810808 1877:1.08085 1952:0.80986 2048:0.839357 2153:1.12662 2620:0.997938 2760:0.828793 2958:0.827921 3140:1.04405 3709:0.884791 3804:1.06871
17:1.02496 72:0.868209 138:0.965047 139:1.34517 205:0.8635 207:0.937988 278:0.868308 310:0.96301 682:0.859834 741:0.894767 853:0.860078 1328:0.978802 1462:0.831837 1809:0.902766 2043:0.869853 2073:0.846411 2248:1.03106 2302:1.18867 2453:0.892433 2605:0.834902
