3865 3956
300:0.990035 415:1.09399 442:1.15079 487:0.846991 590:0.826339 631:0.787165 870:0.812382 897:0.820964 995:1.03408 1086:0.847616 1725:0.843251 1754:0.826147 1759:0.784352 1875:0.830335 1940:0.90453 2142:0.809802 2143:0.807654 2235:0.785926 2512:0.783733 2590:0.785097
73:0.868757 227:1.16775 256:0.895185 261:0.958407 329:0.974816 460:0.878345 562:0.951002 998:1.01586 1179:1.25829 1449:1.23608 1826:1.01736 1900:1.06684 1906:0.870298 1981:1.02711 2782:0.973012 2783:0.935664 2850:1.28654 2936:1.1328 2943:0.909598 3400:0.969211
462:0.889102 521:0.868737 522:0.87653 532:0.861781 536:0.839419 590:1.07233 608:0.876873 714:0.889996 742:0.883026 820:0.86447 833:0.848625 908:0.842724 1095:0.862363 1132:0.953968 1134:0.842308 1135:0.837998 1405:0.851899 1513:0.855436 1541:0.94066 2678:0.850179
98:1.14538 99:1.18498 100:0.964812 118:0.88173 119:1.02362 120:1.10305 147:0.874391 162:0.883225 178:0.87955 191:1.16702 195:0.931469 219:0.928327 229:0.910913 247:0.929559 248:1.03026 408:0.878289 409:0.877398 778:0.943778 977:0.974771 1402:0.880224
239:1.20749 310:0.954887 388:1.266 503:1.24222 568:0.838271 611:0.901359 622:0.837374 626:0.897656 658:0.853761 659:1.32607 664:0.9403 717:0.805495 864:0.838011 952:0.816673 973:1.14575 1281:0.846839 1668:0.914432 2333:0.829521 2410:0.815983 2633:0.851106
4:0.851552 7:1.10065 8:0.948557 67:0.840371 88:1.13876 90:0.91925 94:0.838711 105:0.879873 156:0.836733 363:1.25707 364:0.860292 386:0.837099 475:1.03985 577:0.847772 615:1.10645 933:0.990282 934:0.934797 954:0.893513 1071:0.822283 1640:0.840676
78:0.751533 153:0.828455 217:0.790648 238:0.777528 245:0.788048 289:1.15756 321:0.955028 374:0.763259 414:0.851198 416:0.751626 772:0.881772 957:0.802707 2323:0.842908 2331:0.865832 2606:0.789035 2889:1.12854 3507:0.771773 3577:0.784263 3868:0.755626 3888:0.784892
26:0.934707 62:0.836712 109:0.822572 159:0.96261 199:1.12612 581:0.879825 587:0.847356 789:0.827145 1054:1.10947 1441:0.837478 1617:0.939796 2490:1.08963 3093:0.855433 3113:0.893271 3172:0.841264 3197:0.823884 3265:0.865817 3458:0.830759 3648:0.871934 3945:0.825116
31:0.86705 45:0.893778 84:0.800764 388:0.821632 400:0.809715 448:0.833419 501:0.860197 555:0.867224 630:0.925878 660:0.909937 715:0.80406 756:0.898716 757:0.855891 772:0.807168 900:0.853602 942:0.800659 1074:0.816562 1365:0.83004 1485:0.826012 3505:0.806861
2:0.836911 4:1.4797 105:0.801507 168:0.879011 184:0.858592 185:0.82036 209:0.801405 260:1.41384 328:1.43181 354:0.981062 355:0.935145 363:0.776468 395:0.857279 413:0.835075 549:1.43116 625:1.44914 779:0.849667 933:0.813626 1136:0.777768 1204:0.789618
71:0.773555 81:1.16536 369:0.968841 388:1.04275 437:0.801718 454:0.789014 516:0.788084 520:0.789714 641:0.775954 668:0.823214 709:0.786215 756:0.76762 817:0.834266 820:0.779117 942:0.796666 1074:0.767522 1117:0.852507 1403:0.784365 1833:0.781573 3705:0.813063
217:0.840779 604:0.881624 699:0.83958 1229:0.873125 1449:0.95879 1835:0.857821 1839:0.830514 1842:0.919919 1878:1.20586 1906:0.934561 1921:1.40635 1955:1.1028 1981:0.905581 1982:0.929455 2128:1.25643 2211:0.898681 2218:0.984032 2266:0.912287 2930:1.28239 3608:0.83175
0:1.35558 1:0.991382 4:1.21636 81:0.962429 106:0.891308 154:1.02083 260:0.973297 296:1.0146 303:0.888155 389:1.0311 390:1.20222 391:0.956311 400:1.43518 404:1.07185 413:0.942323 547:1.02343 549:0.968656 854:0.997699 991:0.881705 1108:0.937638
0:0.86273 38:1.34741 39:1.44399 40:1.25667 152:1.08268 239:0.845086 300:0.849873 504:0.867865 591:1.02698 595:0.957254 710:0.978941 824:0.833109 958:0.936798 981:0.893298 1059:1.04032 1554:0.857863 1690:0.874202 2868:0.858764 2942:0.870114 3199:0.851799
240:0.872259 444:1.03505 513:0.777667 629:0.794511 657:0.957812 663:0.803367 710:0.846447 711:0.8139 813:0.778663 883:0.776764 997:0.89708 1092:0.788466 1313:0.775765 1400:0.780588 1434:0.996274 1435:0.838789 1557:0.777246 1606:0.886189 2720:0.783568 3722:0.784692
59:0.838211 161:0.81996 416:0.982341 419:0.962664 433:0.835349 436:0.835616 1152:0.885267 1840:0.851256 1893:0.826149 1898:1.07787 1899:0.825316 1901:0.841704 1907:0.819321 1926:0.903889 2264:0.885918 2339:0.80474 2421:1.19786 2653:0.815269 2755:0.952303 2931:0.815485
11:0.975956 37:0.872612 44:1.07857 62:0.909108 78:0.875363 81:0.940804 141:0.839818 188:0.826161 230:0.878464 231:0.91872 274:1.07538 470:0.91149 488:0.828081 734:0.898058 1363:0.849603 1580:0.834954 1624:0.961473 1642:0.82309 2500:0.882256 3197:0.833423
4:0.943182 11:0.814791 22:1.08252 25:0.871887 27:1.14301 29:0.964096 48:1.02261 56:0.932273 89:0.924227 183:0.809746 184:1.39787 204:0.98863 227:0.847194 324:0.83651 377:0.828803 589:0.923274 599:0.859289 608:0.828369 1300:0.847499 1672:0.822976
17:0.947269 72:1.34743 138:0.877403 139:1.41802 205:1.02693 207:0.981879 252:1.29579 278:0.872028 310:1.41613 385:0.953487 446:0.924561 741:0.947921 853:0.910049 1578:0.950299 2248:1.29105 2567:0.892845 3484:0.881592 3521:0.909164 3629:0.910258 3787:0.86587
203:0.910432 227:1.12654 1447:0.916282 1502:0.877489 1559:0.866487 1693:0.978438 1771:0.933062 1840:1.00106 1863:0.885118 1864:0.916619 1878:0.916135 1881:0.975488 1882:0.931111 1898:1.01695 1899:0.966079 1900:0.968534 2116:0.95443 2117:0.853291 2219:0.902783 2596:0.920493
0:1.08981 2:0.890872 11:1.05725 36:1.00877 38:0.854495 40:0.865036 44:0.89153 77:1.19755 78:0.85755 79:1.07184 80:0.87821 101:0.875205 153:1.17455 157:0.895832 159:0.9792 214:1.02895 410:1.02724 1058:0.998991 1059:0.923448 1060:0.932029
5:0.83154 81:0.832468 363:0.911272 615:1.02892 735:0.951997 800:0.906301 892:0.848478 894:0.896395 895:0.985569 1071:0.974707 1187:0.829088 1259:0.852988 1260:1.05979 1261:0.925602 1411:0.862368 1421:0.856051 1833:0.863236 2455:0.908801 2659:0.840792 3159:0.823523
11:0.814927 31:1.07394 448:0.894122 449:1.00408 471:0.798777 501:0.860132 569:0.808205 647:0.963185 770:0.818884 784:1.21111 1117:0.841762 1885:0.797143 2267:0.821837 2502:0.840976 2607:0.818171 2640:0.803922 2641:0.839897 2642:0.826088 2643:0.873766 2658:0.805668
0:0.799673 306:0.844747 309:0.866603 363:0.838827 429:0.848383 663:0.818205 693:0.799613 998:0.86819 1070:0.79108 1117:0.791614 1138:0.977708 1881:0.849562 1892:0.862719 1920:0.948379 1928:0.918115 1980:0.815788 2113:0.810604 2598:0.816345 2752:0.846356 3259:0.835098
64:0.780963 81:0.916087 114:0.806517 141:0.801786 153:0.875493 188:0.881479 203:0.803061 230:0.812694 264:0.827732 479:0.78377 480:0.805059 678:0.834916 699:0.787437 829:0.791497 916:0.782968 1139:0.79112 1402:0.793362 1736:0.794288 2298:0.883078 2584:0.808633
181:0.810748 239:1.0555 503:0.969661 568:0.835594 589:0.889723 610:1.0747 622:1.40096 734:0.822033 886:0.87172 973:0.89948 1117:0.910191 1280:0.813089 1281:0.824404 1381:1.05209 1382:0.83338 1430:0.874986 1535:0.828496 2333:0.975425 3354:0.818652 3665:0.836114
55:0.95258 129:0.910654 182:0.975644 183:1.16737 239:1.07415 310:1.35881 388:1.22461 420:1.01187 503:0.937507 584:0.993106 610:1.00072 611:0.993658 698:0.958429 952:1.10747 973:1.04939 1349:0.965243 1365:1.43466 1366:0.911073 1432:0.914506 3412:0.986777
320:0.83201 333:0.820136 447:1.25997 462:0.895912 468:1.27416 530:0.933969 596:0.861625 715:0.816997 863:0.939043 920:1.16968 1175:1.24245 1286:0.838819 1462:1.04414 1463:0.842143 1464:0.929544 1500:1.05154 1965:0.941608 2557:0.814389 2578:0.878823 2830:0.943307
4:0.824745 11:1.03166 81:0.934473 270:1.07377 388:0.85665 400:1.52521 458:0.894188 462:0.805186 520:0.818765 532:0.809178 556:0.825952 563:0.856846 608:0.809492 621:0.898568 747:0.837602 840:0.816971 894:0.846393 1009:0.814903 1035:0.872105 1036:0.806516
23:0.829377 227:1.17457 238:0.867062 240:0.922433 286:0.951439 289:1.3568 414:0.973534 630:1.10625 817:1.12291 1627:0.899373 1695:0.846227 1928:0.859375 2582:0.937235 2720:0.825081 2889:1.34951 3025:0.851248 3060:0.83101 3577:0.902794 3779:0.930867 3888:0.872131
53:0.824677 54:0.818851 240:0.98313 547:0.915964 651:0.811888 662:1.03128 705:1.07124 709:1.03053 806:0.883192 818:0.833134 864:0.879299 949:0.923863 950:0.890953 1091:0.863527 1175:0.806877 1194:1.34457 1195:1.3033 1196:1.05658 1582:0.825396 2246:1.00695
218:1.23141 239:0.991271 327:0.928967 398:0.930783 503:1.05128 589:1.0692 622:1.30855 718:1.10735 843:0.908121 869:0.819727 952:0.868503 973:0.873734 1138:0.943387 1376:1.3222 1430:0.909724 1431:0.808335 1554:0.809749 2333:0.86001 3275:0.838004 3323:0.83255
0:0.880146 416:1.36388 450:0.931198 471:1.48799 472:1.33104 619:0.882629 647:0.947554 784:0.918867 961:1.13146 1025:0.827658 1031:0.833883 1170:0.886279 1470:0.896038 1664:0.874354 1755:0.825595 2168:0.881598 2276:0.853764 2473:0.842181 2581:0.875636 3760:0.851189
27:0.960306 35:0.785501 64:0.823295 72:0.933753 82:1.14508 185:0.784146 217:1.44964 227:1.18664 263:0.975933 264:0.849727 286:0.802207 289:0.837706 343:0.862018 494:0.819692 573:0.789619 630:0.790019 660:0.819807 765:0.817699 956:0.776156 1784:0.886531
98:0.91065 119:1.04221 120:1.07197 191:1.21191 195:0.83494 229:1.03062 247:0.841188 325:0.876094 607:1.40445 777:1.34137 778:0.980025 977:1.11465 1301:0.912529 1402:0.976471 1500:0.854715 1732:1.23746 2451:0.90832 2495:0.888527 2595:0.878961 2727:0.882953
72:0.903037 183:1.12119 220:0.890739 310:1.4667 388:1.108 503:0.971042 583:0.866399 584:1.02063 589:1.32721 611:0.908448 709:0.899406 952:0.937764 1365:0.91516 1366:1.25256 1367:1.04919 1432:0.894505 1944:0.92762 2408:0.925436 3412:0.939566 3824:0.872829
41:0.85465 72:1.01143 239:1.10344 310:1.30911 388:1.19572 421:0.854205 503:1.10111 622:1.19944 659:0.851921 698:0.875468 843:1.02884 952:1.36481 973:1.36868 1279:0.879695 1326:0.965607 1366:0.853947 1433:0.850172 1740:0.85142 2236:0.883894 2295:0.864978
400:1.0728 507:0.828208 513:0.836195 520:0.870673 536:0.86075 539:0.815682 540:1.06858 541:1.06423 542:1.08578 590:0.922385 793:0.837341 833:0.986088 840:0.885589 855:0.875955 931:0.848099 1218:0.849359 1219:0.847761 1223:0.845458 1450:0.833136 2561:0.837217
35:0.857708 167:0.943868 403:0.959778 495:0.895564 562:0.9847 663:1.06976 703:1.43595 710:1.28221 711:1.0536 712:0.969369 1109:0.966217 1169:0.894349 1404:0.953589 1434:1.4605 1435:1.18236 1465:0.861075 1557:0.90597 1754:1.0487 1769:0.936047 3364:0.861188
114:1.0386 494:0.87672 640:0.874048 786:0.993087 1245:0.939285 1297:0.876687 1329:0.861357 1502:0.883878 1851:0.930241 1857:1.36283 1887:0.877386 2367:0.850559 2480:0.888111 2534:1.02258 2594:0.878565 2904:0.905453 3292:1.44924 3344:0.849366 3349:1.10284 3637:1.12143
40:0.831048 166:1.00093 167:0.97576 218:0.952199 292:0.873832 416:0.878738 450:0.94002 471:1.25966 472:0.909376 597:0.876203 711:0.917387 780:0.821425 1025:0.845804 1906:0.925257 1928:0.842785 1985:0.832532 2085:0.861473 2557:0.81935 2792:0.867403 3116:0.843289
164:0.954685 309:0.864861 471:0.921301 540:0.880226 541:0.875611 615:0.850396 1011:0.850884 1187:0.866986 1190:0.922973 1240:0.875344 1241:0.887012 1242:0.909565 1474:0.896177 1571:0.907965 1949:1.01011 1961:0.887127 2201:0.904544 2242:0.918408 2904:0.919956 3662:0.892453
55:1.06983 129:0.999933 171:0.886643 173:0.972225 175:0.928218 183:1.08576 220:0.874246 239:0.982386 310:0.979245 396:0.942948 501:0.980672 584:1.00197 678:0.976004 843:0.957744 952:1.22195 1365:1.19994 1432:1.04258 2236:0.859326 2418:0.869785 3412:0.869905
333:0.805246 471:1.51475 472:1.40307 619:0.847545 729:0.834622 745:0.800399 1002:0.807646 1170:1.00398 1217:0.803096 1500:1.36001 1871:0.797581 1915:0.800378 1999:0.849021 2239:0.827185 2667:0.98136 2731:0.799329 2916:0.806505 3070:0.844655 3244:0.885457 3254:0.817067
92:1.06814 161:0.922528 264:0.817461 275:0.866004 494:0.981473 1130:0.997995 1229:0.936419 1287:0.84567 1418:0.859263 1419:0.860204 1730:0.842564 1748:0.829611 1878:1.08797 2128:1.07645 2218:0.934093 2266:0.964377 2308:0.839259 2754:0.952662 2774:0.87916 2930:0.879768
60:0.852097 62:1.03538 109:0.936511 111:0.906411 199:1.29729 333:0.876197 415:1.22274 416:0.855035 423:0.922959 590:0.855862 750:0.865735 789:0.915291 792:0.855067 811:0.855294 828:0.851856 996:0.941857 1583:0.946804 2026:1.05059 2162:0.902747 2199:0.870815
26:0.874042 159:0.994874 230:0.862529 388:0.918935 563:1.13312 587:0.854859 1054:1.2391 1290:1.00863 1487:0.857945 1617:0.912376 1624:0.865268 1798:0.951581 2490:1.09538 2500:0.869896 2657:0.948714 3188:1.06011 3197:1.11324 3200:0.937333 3219:0.898254 3648:0.985454
4:1.10296 41:0.94168 45:0.987646 109:1.07938 110:0.962446 242:0.933326 400:1.15977 459:0.898785 505:0.902376 558:0.933335 590:0.972383 657:0.953052 671:1.02672 747:0.89831 789:0.876564 811:0.965195 978:0.958386 979:0.970979 1199:0.9802 1200:0.868985
11:0.863255 22:1.03244 46:0.826113 55:0.946965 86:0.865991 88:0.930806 89:1.00964 172:1.06116 174:1.17722 176:1.14506 180:0.861938 181:0.959582 182:0.912925 183:0.946524 203:0.886014 204:0.885801 218:0.830157 227:0.824408 279:0.903653 501:0.882815
2270:1.46353 2306:1.41985 2324:1.02335 2904:0.902777 2905:1.41491 3015:1.40995 3019:0.919742 3027:1.43149 3029:0.887547 3031:0.921994 3039:0.932487 3040:0.973071 3043:0.943595 3044:1.09492 3046:1.10704 3050:1.04457 3055:0.923139 3059:0.897988 3061:0.902808 3063:0.924681
99:0.856732 191:0.798277 195:0.860908 220:0.845458 239:1.06489 254:0.955391 397:0.844736 563:0.833174 583:0.823291 611:0.816529 622:1.08578 1061:1.05956 1381:0.800462 1382:0.941186 1459:0.815554 1462:0.828033 1463:1.02012 1732:0.883989 2903:0.868531 2904:0.892224
4:1.16143 9:0.831986 17:0.913363 18:1.07671 20:0.897223 21:1.00421 22:0.780039 50:0.784517 70:0.83561 91:0.8172 134:0.807369 140:0.980873 151:0.789276 244:0.796508 305:0.881767 585:0.804889 673:0.787351 678:0.805642 699:1.36726 700:0.806109
4:1.02587 14:1.07558 41:0.906282 45:0.918976 110:1.17498 135:0.935028 400:0.904817 529:1.21461 550:0.87068 564:0.876608 671:0.875485 726:0.892558 750:0.981591 752:1.07916 828:0.851937 922:0.940488 978:0.91835 1199:0.919935 1272:0.864795 1659:1.07792
35:0.828447 97:0.86926 184:0.929518 238:1.05586 289:0.886875 355:0.876942 414:0.833408 498:1.44863 499:0.87707 630:0.83066 936:0.871493 940:0.917182 990:0.976629 1109:1.02581 1435:0.814698 1744:0.83402 1768:0.847551 1985:1.02961 2152:0.861187 3260:0.801723
23:1.04976 140:1.11426 227:1.092 253:0.901243 256:0.995643 311:0.897193 366:0.861209 501:0.923971 673:0.965176 935:0.853278 1179:0.922879 1237:0.897429 1449:0.91954 1546:0.963715 2141:0.911785 2549:0.873831 2782:0.912796 2783:0.877979 2850:0.925074 2936:0.906405
129:1.25983 140:0.933223 181:0.838316 396:0.840959 419:0.945128 610:1.03609 829:0.939821 921:1.03711 1062:0.828041 1387:0.819949 1462:0.920666 1523:0.840991 1899:0.937015 1903:0.808302 1976:0.92249 2116:0.851098 2301:0.95818 2418:0.811723 2565:0.846081 2695:0.849078
400:0.874178 462:0.948321 464:0.84973 468:0.887332 542:0.976507 557:0.902236 590:1.16107 618:0.865661 619:0.839318 737:0.844832 833:0.941699 834:1.06521 1218:0.853332 1219:0.851285 1223:0.883115 1405:0.885007 1454:0.850254 1914:0.864054 2046:0.835193 2180:0.833751
2270:1.45124 2306:1.38938 2356:0.988612 2904:0.944067 2905:1.46046 2989:0.885542 3015:1.43191 3019:1.02874 3027:1.40718 3029:0.919872 3031:0.892251 3039:0.887774 3040:0.987086 3043:0.972317 3044:0.9095 3046:0.914357 3050:0.913168 3053:0.891649 3061:1.08279 3066:0.902156
27:1.30549 94:0.850682 114:0.923506 168:0.917904 209:1.36825 309:0.834083 363:1.30129 475:0.949567 519:0.824338 623:0.857349 893:0.844361 933:0.966996 934:1.19264 1139:0.916145 1170:0.837274 1204:0.967634 1271:0.881107 1753:0.84 1921:0.84212 2780:0.833373
72:1.27467 183:0.829873 209:1.00572 220:1.38183 239:1.06647 252:0.868932 310:1.37906 355:0.886846 583:0.826746 675:0.826447 701:0.850165 709:0.886137 779:0.829437 843:1.08355 952:1.3615 973:0.904429 1061:0.858071 1226:0.823793 1326:0.824696 2984:0.82805
41:0.908164 175:0.855093 181:1.05439 182:0.853041 239:1.0742 380:0.881697 420:0.850943 503:1.40744 589:0.980548 610:1.00685 611:0.964403 622:1.42776 802:1.01144 952:1.08765 973:1.39408 1281:0.894293 1349:0.875217 1365:0.936152 1384:0.906206 1431:0.914523
58:0.840693 156:1.2058 357:0.911078 363:0.863345 378:0.827987 386:0.990843 475:0.820318 731:0.846188 912:0.864036 1014:0.870784 1042:0.886216 1187:0.935185 1241:0.869056 1242:0.844007 1290:0.855181 1411:0.83345 1482:0.891587 2890:0.838813 3351:0.824202 3379:0.980601
148:0.909767 239:1.0223 420:1.60343 503:0.949064 612:1.43951 622:0.84629 802:0.834044 973:0.975507 1073:0.864232 1281:0.83769 1384:1.01531 1918:1.11598 2250:0.839102 2326:0.837949 2579:0.841764 2660:0.975297 2666:0.831847 2793:1.0203 2957:0.858284 3509:0.891234
131:1.22853 329:1.18972 428:0.859417 604:1.06065 864:0.839753 998:1.08023 1449:1.01382 1878:0.938313 1906:1.00926 1927:0.858021 1981:0.863113 2218:0.909806 2258:0.900252 2337:1.02007 2782:0.873594 2783:0.910059 2818:0.84351 2861:1.08073 2930:0.827988 3431:0.830288
23:1.21463 87:0.848595 129:1.48104 140:1.35391 203:0.855232 283:0.935092 396:0.982258 407:0.855978 562:0.88061 610:0.909069 678:1.14928 701:0.869364 843:1.03832 921:1.00109 1062:1.10783 1365:0.936221 1432:0.936823 2418:0.969297 2483:0.866438 3273:0.993916
123:0.933281 239:1.06694 309:1.13627 333:0.895955 420:0.969704 547:0.934074 568:1.06888 612:0.978574 622:0.921189 973:1.16496 998:0.965344 1138:1.01326 1279:0.884068 1280:0.927961 1281:0.94537 1376:0.949574 1384:0.943378 1430:0.947183 1918:1.07424 3275:0.907282
4:1.13342 11:0.837188 19:0.969523 58:0.844256 67:0.840333 98:0.85576 115:0.84556 157:0.886966 159:0.950615 244:0.850286 339:0.896199 386:0.903078 387:0.830934 417:1.18343 474:0.832469 683:1.0883 982:0.899856 983:0.814682 1893:0.850477 2367:0.867433
27:0.839337 31:0.907936 153:0.908065 169:0.807751 469:0.874674 484:0.940896 490:1.03534 491:0.806366 623:0.958882 1047:0.873229 1125:0.822813 1401:0.833789 1511:0.808844 1877:0.952261 1954:0.81247 2059:0.801266 2124:0.853818 2153:0.897045 2760:0.822345 2996:0.817021
4:0.980675 10:0.858837 11:1.42756 13:0.864384 23:0.927115 27:1.28544 28:0.938673 29:1.08966 71:0.843943 72:0.974858 115:0.844339 227:0.875206 263:0.836178 264:0.861326 279:0.893985 324:0.926596 354:1.01183 355:1.09148 583:0.88315 990:0.842474
431:0.9268 469:0.809053 484:1.21932 485:0.927065 731:1.0258 1211:0.876518 1399:0.834716 1726:0.834467 1727:0.838962 1876:0.809734 1877:1.08172 1952:0.811124 2048:0.840247 2153:1.12643 2620:0.999174 2760:0.828263 2958:0.829177 3140:1.04584 3709:0.884666 3804:1.07044
17:1.02419 72:0.868405 138:0.967494 139:1.34931 205:0.863067 207:0.937783 278:0.868539 310:0.963939 682:0.860492 741:0.894973 853:0.861501 1328:0.981233 1462:0.834222 1809:0.900438 2043:0.870506 2073:0.844132 2248:1.03408 2302:1.18895 2453:0.891898 2605:0.835526
